Strengthen,Number
Completed a website,67
Completed a Business Plan,48
Signed contracts,52
Obtained a business license,38
Conducted an advertising or PR campaign,49
Developed product packaging labels or bar codes,32
Created a capability statement,17
Purchased insurance,57
Purchased bonding,7
Acquired certifications,23
Obtained a professional license,24
None of the above,24
TIN,53
TINS or Tax ID,53
Opened a bank account,72
Obtained an EIN,53
Setup a bookkeeping system,54
Placed your products in a retail store (ex. grocery boutique etc.) ,21
Incorporated your business,48